gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YGL129C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL131C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL132W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL133W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YGL135W,True,False,False,False,False,False,1,False,True,0.5275,False,excluded_low_fitness,1
YGL136C,True,False,False,False,False,False,1,False,True,0.641,False,excluded_low_fitness,1
YGL138C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL139W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL140C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL141W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL142C,False,False,False,True,False,False,1,True,True,0.735,False,excluded_essential,1
YGL143C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL144C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL146C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL147C,True,False,False,False,False,False,1,False,True,0.8865,False,excluded_low_fitness,1
YGL148W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL149W,True,False,False,False,False,False,1,False,True,0.766,False,excluded_low_fitness,1
YGL151W,True,True,False,False,False,False,2,False,True,0.88,False,excluded_low_fitness,2
YGL152C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL153W,True,False,False,False,False,False,1,False,True,0.8825,False,excluded_low_fitness,1
YGL154C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL156W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL157W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL158W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL159W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL160W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL161C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL162W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL163C,True,True,False,False,False,False,2,False,True,0.837,False,excluded_low_fitness,2
YGL164C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL165C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL166W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YGL167C,True,False,False,True,False,False,2,False,True,0.5893,False,excluded_low_fitness,2
YGL168W,True,True,False,False,False,False,2,False,True,0.6355,False,excluded_low_fitness,2
YGL169W,False,False,False,True,False,False,1,True,False,,False,excluded_essential,1
YGL170C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL173C,True,True,False,False,False,False,2,False,True,0.4383,False,excluded_low_fitness,2
YGL174W,True,True,False,False,False,False,2,False,True,0.8463,False,excluded_low_fitness,2
