gene,n_terms
YDR534C,11
YDR535C,3
YDR536W,11
YDR537C,3
YDR538W,7
YDR539W,4
YDR540C,5
YDR541C,4
YDR542W,6
YDR543C,3
YDR544C,3
YDR545C-A,4
YDR545W,10
YEL001C,5
YEL002C,9
YEL003W,8
YEL004W,5
YEL005C,7
YEL006W,5
YEL007W,5
YEL008C-A,3
YEL008W,3
YEL009C,15
YEL009C-A,3
YEL010W,3
YEL011W,8
YEL012W,13
YEL013W,20
YEL014C,4
YEL015W,8
YEL016C,11
YEL017C-A,5
YEL017W,6
YEL018C-A,4
YEL018W,7
YEL019C,15
YEL020C,10
YEL020C-B,3
YEL020W-A,12
YEL021W,9
YEL022W,12
YEL023C,3
YEL024W,11
YEL025C,5
YEL026W,20
YEL027W,15
YEL028W,3
YEL029C,12
YEL030C-A,3
YEL030W,15
YEL031W,20
YEL032C-A,3
YEL032W,27
YEL033W,4
YEL034C-A,4
YEL034W,12
YEL035C,3
YEL036C,10
YEL037C,17
YEL038W,9
YEL039C,7
YEL040W,12
YEL041W,8
YEL042W,6
YEL043W,4
YEL044W,5
YEL045C,6
YEL046C,4
YEL047C,6
YEL048C,11
YEL049W,7
YEL050C,10
YEL050W-A,4
YEL051W,10
YEL052W,9
YEL053C,4
YEL053W-A,4
YEL054C,10
YEL055C,15
YEL056W,11
YEL057C,3
YEL058W,9
YEL059C-A,5
YEL059W,3
YEL060C,13
YEL061C,26
YEL062W,12
YEL063C,16
YEL064C,10
YEL065W,14
YEL066W,10
YEL067C,3
YEL068C,3
YEL069C,14
YEL070W,4
YEL071W,8
YEL072W,5
YEL073C,3
YEL074W,3
YEL075C,3
