gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
GCN5_SPT3,digenic,C16:0,0.2815384451582573,0.16080699937566847,0.09463551108208747,0.032822214017362406,0.061972012480334605,0.2815384451582573,True,False
GCN5_SPT3,digenic,C18:0,0.25216746261645673,0.12693303228043093,0.07336393768434116,0.02793437278591382,0.05628567650893083,0.25216746261645673,True,False
GCN5_SPT3,digenic,C16:1,-0.19942028209367857,0.26589725433760225,0.1653230333358787,0.29586376770180145,0.34284642609221627,0.19942028209367857,False,False
GCN5_SPT3,digenic,C18:1,-0.03815371529230749,0.47361267090351,0.2866299424686239,0.9002087936910408,0.906926769763362,0.03815371529230749,False,False
GCN5_SPT3,digenic,Total Titer,0.1386520787277138,0.14702596604375667,0.0895728637189535,0.19466896975202053,0.25125843344748766,0.1386520787277138,False,False
MED4_SPT3,digenic,C14:0,-1.3230985289869226,0.2540668486563284,0.1466855634638911,0.0005629083423770442,0.004678503738222025,1.3230985289869226,True,True
MED4_SPT3,digenic,C16:0,0.8371144304684903,0.19952332997616093,0.11519484827134704,0.0017695871074796532,0.009014877717349176,0.8371144304684903,True,True
MED4_SPT3,digenic,C18:0,0.5364071534822339,0.12951829011725002,0.07477741966417435,0.0019954356783196125,0.00971175928345665,0.5364071534822339,True,True
MED4_SPT3,digenic,C16:1,-0.42314051799736285,0.2343939910176001,0.13532743381044215,0.031893412698196455,0.06150872448937888,0.42314051799736285,True,False
MED4_SPT3,digenic,C18:1,1.3379872807903013,0.45476630289406045,0.2625594473942567,0.00718035221991542,0.02364262316313614,1.3379872807903013,True,True
MED4_SPT3,digenic,Total Titer,0.5130935504603749,0.13120151871299907,0.07574923214703774,0.0006371390166393098,0.004915072414074676,0.5130935504603749,True,True
RGR1_TFC7,digenic,C14:0,-1.2020760170930744,0.7757879362976202,0.4479013738554954,0.05395159785296677,0.08276665579716493,1.2020760170930744,False,False
RGR1_TFC7,digenic,C16:0,0.6687545966948022,0.09671501039617277,0.05583843728690781,8.048119074488547e-05,0.0015655717735322103,0.6687545966948022,True,True
RGR1_TFC7,digenic,C18:0,0.7127109639753498,0.07552681753480577,0.043605428434755865,0.00014960362287386175,0.002159016040471164,0.7127109639753498,True,True
RGR1_TFC7,digenic,C16:1,-0.33987970518733723,0.32082042584467907,0.18522575922295584,0.19542322601471263,0.25125843344748766,0.33987970518733723,False,False
