gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
OPI1:RPD3:YAP6,trigenic,C160,-0.8497930406853813,0.427503398604284,0.26231553549070097,0.0011970447561369271,0.0023701486171511157,0.8497930406853813,True,True
OPI1:RPD3:TFC7,trigenic,C160,-0.5228009363815955,0.5928576636415301,0.26231553549070136,0.046258911533964574,0.06774273691670411,0.5228009363815955,True,False
OPI1:SPT3:YAP6,trigenic,C160,-0.5726415553776285,0.5640335432654721,0.2704359990538523,0.03421952718030436,0.05219927874961682,0.5726415553776285,True,False
OPI1:SPT3:TFC7,trigenic,C160,-0.39102702066094075,0.6763618800473415,0.26231553549070075,0.13604703325371698,0.1749176141833504,0.39102702066094075,False,False
OPI1:YAP6:TFC7,trigenic,C160,-0.49463578026465527,0.6097929654873716,0.26231553549070075,0.059341882555387124,0.08440871225550756,0.49463578026465527,False,False
RFX1:RGR1:RPD3,trigenic,C160,-0.579435033662242,0.5602147796680368,0.26231553549070075,0.02717994035590512,0.042375025121804834,0.579435033662242,True,True
RFX1:RGR1:SPT3,trigenic,C160,-0.22188307284414466,0.8010090185655464,0.2623155354907008,0.3976290327553047,0.449888848488859,0.22188307284414466,False,False
RFX1:RGR1:YAP6,trigenic,C160,-0.035961638871027546,0.9646772988836133,0.2623155354907009,0.8909572397260843,0.9112062679016771,0.035961638871027546,False,False
RFX1:RGR1:TFC7,trigenic,C160,-0.3125969797467967,0.7315446804885314,0.2623155354907008,0.233385543192964,0.28177035092809066,0.3125969797467967,False,False
RFX1:RPD3:SPT3,trigenic,C160,-0.68355708086944,0.5048181160249601,0.2623155354907008,0.00916444014356572,0.01561582743912231,0.68355708086944,True,True
RFX1:RPD3:YAP6,trigenic,C160,-0.6108449739847113,0.5428919456420475,0.2623155354907009,0.019876826228057427,0.0319448992950923,0.6108449739847113,True,True
RFX1:RPD3:TFC7,trigenic,C160,-0.5170997363436098,0.5962473171409867,0.262315535490701,0.0486908259207477,0.07083295211540612,0.5170997363436098,True,False
RFX1:SPT3:YAP6,trigenic,C160,-0.19272007692222348,0.8247127979758326,0.26231553549070086,0.4625295283876797,0.5156579201619402,0.19272007692222348,False,False
RFX1:SPT3:TFC7,trigenic,C160,-0.21529243956366395,0.8063056100351972,0.26231553549070064,0.41179527844106945,0.4643249722740988,0.21529243956366395,False,False
RFX1:YAP6:TFC7,trigenic,C160,-1.3103321873926355,0.26973044044914174,0.26231553549070075,5.875900761692285e-07,1.7789424324389486e-06,1.3103321873926355,True,True
RGR1:RPD3:SPT3,trigenic,C160,-1.2578511544640925,0.2842642105491963,0.2623155354907008,1.6252590410740551e-06,4.623581754779639e-06,1.2578511544640925,True,True
RGR1:RPD3:YAP6,trigenic,C160,-1.4550888090064487,0.23337963676712023,0.27043599905385185,7.426716133683005e-08,2.483935463630465e-07,1.4550888090064487,True,True
RGR1:RPD3:TFC7,trigenic,C160,-1.5461307608040549,0.2130708028409217,0.2623155354907011,3.7658323710794e-09,1.5155179054343926e-08,1.5461307608040549,True,True
RGR1:SPT3:YAP6,trigenic,C160,-1.3142580415474296,0.2686735939488141,0.2623155354907011,5.436838678637129e-07,1.6561447051848486e-06,1.3142580415474296,True,True
