,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
A9_C,0.0030724684233459825,0.006668054948712817,0.5392256892035535,0.7343198820701735,0.2075732388277992,Proportion_of_actin_region_at_neck,Ratio of actin region to bud neck on stage C,0.1524251562569535,43.0
D102_A,0.2504345896333266,1.8389155265740644,0.863813978394162,0.9294159340113348,0.054611435047257254,Distance_between_nuclear_gravity_center_and_mother_tip,Distance from nuclear center to mother tip on stage A,0.050756737912145945,186.0
D103_C,0.5700145377179165,2.2721057916807776,0.7491250012191327,0.8655200755725616,0.08186761877289059,Distance_between_nuclear_gravity_center_in_mother_and_mother_tip,Distance from mother nuclear center to mother tip on stage C,0.07085806758725792,134.0
D104_A1B,0.3761482543263186,3.0921495056431496,0.87835379445921,0.9372053107293034,0.057941116945652654,Distance_between_nuclear_gravity_center_and_mother_tip,Distance from nuclear center to mothre tip on stage A1B,0.0543027225110533,177.0
D105_A,4.44815337047639e-05,6.79494350133441e-05,0.3453730160371681,0.5876844527781623,0.016491522054032384,Ratio_of_D102_to_C103,Ratio of D102 to C103 on stage A,0.009691811113803017,251.0
D106_C,0.0003619847217517353,0.0007350036050385371,0.5075061955202845,0.7123946908282547,0.06931575055191175,Ratio_of_D103_to_C103,Ratio of D103 to C103 on stage C,0.04938017268395759,191.0
D107_A1B,0.00015094598697014335,0.00024841186969766147,0.392355980598441,0.6263832537659679,0.02854276716478573,Ratio_of_D104_to_C103,Ratio of D104 to C103 on stage A1B,0.017878711368162915,249.0
D108_C,0.7600879555896193,2.5627960259469647,0.7034145722507263,0.8386981413182734,0.08319104135203774,Distance_between_nuclear_gravity_center_in_mother_and_middle_point_of_neck,Distance from neck to mother cell's nucleus center on stage C,0.06977217175628567,141.0
D109_C,0.45824333367545106,1.8353217201760232,0.7503198874410414,0.8662100711958048,0.08108783870970948,Distance_between_nuclear_gravity_center_in_bud_and_middle_point_of_neck,Distance from neck to bud's nucleus center on stage C,0.0702391025418514,136.0
D110_A1B,0.2667411189491591,0.5446901808459814,0.5102883651493917,0.7143447103110596,0.06340684602998824,Distance_between_nuclear_gravity_center_and_middle_point_of_neck,Distance from neck to nucleus center on stage A1B,0.045294345059029906,205.0
D112_C,0.0004294612892496954,0.0010077184189166374,0.5738280841275144,0.7575144118282598,0.06451996367993051,Ratio_of_D108_to_C128,Ratio of D108 to C128 on stage C,0.048874802338183254,194.0
