orf,self_value,self_rank,n_genes,self_present,version
YPR009W,-1.5329590362529122,3.0,6169,True,kemmeren
YAR042W,-0.0401074433870486,676.0,6169,True,kemmeren
YNL330C,-3.524545113130383,2.0,6169,True,kemmeren
YGR129W,-1.9850745295534917,2.0,6169,True,kemmeren
YGL243W,-2.265567473568917,1.0,6169,True,kemmeren
YGL232W,-4.069781666053955,1.0,6169,True,kemmeren
YJL083W,-0.8944227384927554,3.0,6169,True,kemmeren
YBR150C,-2.171246135588013,1.0,6169,True,kemmeren
YML072C,-4.7490628205887475,1.0,6169,True,kemmeren
YBR223C,-1.3385761845309088,2.0,6169,True,kemmeren
YOR337W,-1.7651190011031592,1.0,6169,True,kemmeren
YNL128W,-0.9706108284751935,3.0,6169,True,kemmeren
YNL253W,-3.2507052563570262,1.0,6169,True,kemmeren
YER169W,-3.276488056804996,1.0,6169,True,kemmeren
YBR240C,-0.6201569212058262,19.0,6169,True,kemmeren
YDL080C,-2.1039097268058335,1.0,6169,True,kemmeren
YER063W,-4.167372780466227,1.0,6169,True,kemmeren
YGL049C,-2.6889920011670436,1.0,6169,True,kemmeren
YER007C-A,-4.842301067902659,1.0,6169,True,kemmeren
YOR091W,-4.0964454579363645,1.0,6169,True,kemmeren
YDR117C,-2.5068367209004103,2.0,6169,True,kemmeren
YNL273W,-1.5670150405656305,2.0,6169,True,kemmeren
YKR010C,-1.1189359448199432,2.0,6169,True,kemmeren
YOL006C,-3.5042094654600318,1.0,6169,True,kemmeren
YGR056W,-1.960033836738491,2.0,6169,True,kemmeren
YGL096W,-1.010640745837771,2.0,6169,True,kemmeren
YER049W,-4.211772811099488,1.0,6169,True,kemmeren
YMR156C,-0.6788418622307728,9.0,6169,True,kemmeren
YPL176C,-2.348565336725387,1.0,6169,True,kemmeren
YNL299W,-2.432565193994986,3.0,6169,True,kemmeren
YMR233W,-3.081371315633056,1.0,6169,True,kemmeren
YLR043C,-1.907846970290146,2.0,6169,True,kemmeren
YKL034W,-3.5998319481067957,1.0,6169,True,kemmeren
YLR425W,-2.4786809222452844,1.0,6169,True,kemmeren
YOR344C,-2.912789875281257,1.0,6169,True,kemmeren
YLR357W,-2.570899738479582,1.0,6169,True,kemmeren
YOR339C,-0.8247688542716334,1.0,6169,True,kemmeren
YLR306W,-2.406821424941909,1.0,6169,True,kemmeren
YDR059C,-2.698300256752101,1.0,6169,True,kemmeren
YLL039C,-0.61858845806546,8.0,6169,True,kemmeren
YKR098C,-2.131895170769563,1.0,6169,True,kemmeren
YJL197W,-3.292135533140822,1.0,6169,True,kemmeren
YOR124C,-3.912326942623436,1.0,6169,True,kemmeren
YER144C,-2.8376511563848186,1.0,6169,True,kemmeren
YIL156W,-3.3294273720176415,1.0,6169,True,kemmeren
YER098W,-1.9808123051517066,1.0,6169,True,kemmeren
YHR056C,,,6169,False,kemmeren
YBR165W,-2.6039199927398844,1.0,6169,True,kemmeren
YMR067C,-2.7182642591587625,1.0,6169,True,kemmeren
YDR330W,-2.7934680605793325,1.0,6169,True,kemmeren
YJL048C,-2.40806738392157,1.0,6169,True,kemmeren
YBR273C,-1.4625571171496095,2.0,6169,True,kemmeren
YML088W,-3.072082670084263,1.0,6169,True,kemmeren
YGR019W,-3.142288829843594,1.0,6169,True,kemmeren
YDL170W,-2.3954181671461847,1.0,6169,True,kemmeren
YPL186C,-1.296257081107702,2.0,6169,True,kemmeren
YPL003W,-1.7416135329215645,2.0,6169,True,kemmeren
YGL244W,-4.739482407933565,2.0,6169,True,kemmeren
YDR213W,-0.6944858365452515,6.0,6169,True,kemmeren
YPL230W,-0.6731227027345225,12.0,6169,True,kemmeren
YBR105C,-3.0976992107779573,1.0,6169,True,kemmeren
YGL227W,-2.234491152060349,1.0,6169,True,kemmeren
YPL253C,-2.1477115542495038,2.0,6169,True,kemmeren
YLL040C,-2.7210214849315797,1.0,6169,True,kemmeren
YML076C,-2.858207316833664,1.0,6169,True,kemmeren
YOR230W,-3.3355091051447405,1.0,6169,True,kemmeren
YOR229W,-2.2175906445946856,1.0,6169,True,kemmeren
YIL101C,-1.2294039250073845,2.0,6169,True,kemmeren
YGL252C,-2.721699000476712,3.0,6169,True,kemmeren
YAL027W,-1.7625363379407717,1.0,6169,True,kemmeren
YAL044W-A,-2.2006921208419374,1.0,6169,True,kemmeren
YHL009C,-1.8262267936495198,1.0,6169,True,kemmeren
YIR018W,-2.346125396336008,1.0,6169,True,kemmeren
YDR259C,0.3082201274243459,6094.0,6169,True,kemmeren
YOL028C,-0.7739285970961668,7.0,6169,True,kemmeren
YAR035W,-0.5746501479723829,17.0,6169,True,kemmeren
YBL010C,-2.207558228334796,1.0,6169,True,kemmeren
YBL028C,-0.12560335098549466,847.0,6169,True,kemmeren
YBL055C,-2.43576146207794,1.0,6169,True,kemmeren
YNL206C,-3.4204723048460064,1.0,6169,True,kemmeren
YBR030W,-1.0456429768810416,3.0,6169,True,kemmeren
YBR062C,-3.206131207610585,1.0,6169,True,kemmeren
YBR141C,-2.3075740813903756,1.0,6169,True,kemmeren
YBR225W,-1.0535593616552825,1.0,6169,True,kemmeren
YBR271W,-1.2827081577884811,2.0,6169,True,kemmeren
YLL048C,-4.518642299548069,1.0,6169,True,kemmeren
YCR016W,-3.335356868313518,1.0,6169,True,kemmeren
YDL089W,-3.606959191071156,1.0,6169,True,kemmeren
YDR026C,-1.2192118232680569,2.0,6169,True,kemmeren
YDR034W-B,-0.9273390721966597,2.0,6169,True,kemmeren
YHR079C,-2.624754128516021,1.0,6169,True,kemmeren
YLL002W,-1.2123416397061613,5.0,6169,True,kemmeren
YDR049W,-3.1032140181100947,1.0,6169,True,kemmeren
YDR063W,-2.6742628337915715,1.0,6169,True,kemmeren
YDR131C,-2.8984216286896576,1.0,6169,True,kemmeren
